Country/Region,New cases,New deaths,Confirmed,Deaths
Afghanistan,106,10,36263,1269
Albania,117,6,4880,144
Algeria,616,8,27973,1163
Andorra,10,0,907,52
Angola,18,1,950,41
Antigua and Barbuda,4,0,86,3
Argentina,4890,120,167416,3059
Armenia,73,6,37390,711
Australia,368,6,15303,167
Austria,86,1,20558,713
Azerbaijan,396,6,30446,423
Bahamas,40,0,382,1
Bahrain,351,1,39482,141
Bangladesh,2772,37,226225,2965
Barbados,0,0,110,7
Belarus,119,4,67251,538
Belgium,402,1,66428,9822
Belize,0,0,48,2
Benin,0,0,1770,35
Bhutan,4,0,99,0
Bolivia,1752,64,71181,2647
Bosnia and Herzegovina,731,14,10498,294
Botswana,53,1,739,2
Brazil,23284,614,2442375,87618
Brunei,0,0,141,3
Bulgaria,194,7,10621,347
Burkina Faso,14,0,1100,53
Burma,0,0,350,6
Burundi,17,0,378,1
Cabo Verde,21,0,2328,22
Cambodia,1,0,226,0
Cameroon,402,6,17110,391
Canada,682,11,116458,8944
Central African Republic,0,0,4599,59
Chad,7,0,922,75
Chile,2133,75,347923,9187
China,213,4,86783,4656
Colombia,16306,508,257101,8777
Comoros,0,0,354,7
Congo (Brazzaville),162,3,3200,54
Congo (Kinshasa),13,4,8844,208
Costa Rica,612,11,15841,115
Cote d'Ivoire,59,0,15655,96
Croatia,24,3,4881,139
Cuba,37,0,2532,87
Cyprus,3,0,1060,19
Czechia,192,2,15516,373
Denmark,109,0,13761,613
Djibouti,9,0,5059,58
Dominica,0,0,18,0
Dominican Republic,1248,20,64156,1083
Ecuador,467,17,81161,5532
Egypt,420,46,92482,4652
El Salvador,405,8,15035,408
Equatorial Guinea,0,0,3071,51
Eritrea,2,0,265,0
Estonia,0,0,2034,69
Eswatini,109,2,2316,34
Ethiopia,579,5,14547,228
Fiji,0,0,27,0
Finland,5,0,7398,329
France,2551,17,220352,30212
Gabon,205,0,7189,49
Gambia,49,2,326,8
Georgia,6,0,1137,16
Germany,445,1,207112,9125
Ghana,655,0,33624,168
Greece,34,0,4227,202
Greenland,1,0,14,0
Grenada,0,0,23,0
Guatemala,256,27,45309,1761
Guinea,47,2,7055,45
Guinea-Bissau,0,0,1954,26
Guyana,19,0,389,20
Haiti,25,1,7340,158
Holy See,0,0,12,0
Honduras,465,50,39741,1166
Hungary,13,0,4448,596
Iceland,7,0,1854,10
India,44457,637,1480073,33408
Indonesia,1525,57,100303,4838
Iran,2434,212,293606,15912
Iraq,2553,96,112585,4458
Ireland,11,0,25892,1764
Israel,2029,4,63985,474
Italy,168,5,246286,35112
Jamaica,11,0,853,10
Japan,594,0,31142,998
Jordan,8,0,1176,11
Kazakhstan,1526,0,84648,585
Kenya,372,5,17975,285
Kosovo,496,16,7413,185
Kuwait,606,5,64379,438
Kyrgyzstan,483,24,33296,1301
Laos,0,0,20,0
Latvia,0,0,1219,31
